Stan	Kod	Plik	Wiersz	Kolumna	Projekt	Repozytorium	Zawierająca składowa	Zawierający typ	Rodzaj
	foreach (IRenderBin mesh in meshes) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\ModelOld\MeshUtil.cs	66	22	TranSimCS		RayIntersectMeshes	MeshUtil	
	interface IRenderBin								
	((IRenderBin)topRenderBin).DrawModel(vertices, triangulation);	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\Roads\Strip\SegmentRenderer.cs	201	19	TranSimCS		DrawIsland	SegmentRenderer	
	int IRenderBin.AddVertex(VertexPositionColorTexture vertex) => AddVertex(vertex);	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\ModelOld\Mesh.cs	30	13	TranSimCS		TranSimCS.Model.IRenderBin.AddVertex	Mesh	Zakwalifikowane
	int IRenderBin.AddVerts(VertexPositionColorTexture[] verts) => AddVerts(verts);	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\ModelOld\Mesh.cs	46	13	TranSimCS		TranSimCS.Model.IRenderBin.AddVerts	Mesh	Zakwalifikowane
	IRenderBin bin = menu.renderHelper.GetOrCreateRenderBinForced(Assets.Road);	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\Tools\Tool.cs	160	13	TranSimCS		TranSimCS.Tools.ITool.Draw	AddNodeTool	
	IRenderBin finishBin = renderHelper.GetOrCreateRenderBinForced(texture);	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\Roads\Strip\SegmentRenderer.cs	71	13	TranSimCS		GenerateRoadSegmentFullMesh	SegmentRenderer	
	IRenderBin grassBin = renderHelper.GetOrCreateRenderBinForced(Assets.Grass);	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\Menus\InGame\InGameMenu.Rendering.cs	86	13	TranSimCS		Draw	InGameMenu	
	IRenderBin mesh,	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\Render\RenderPatch.cs	45	13	TranSimCS		RenderCoonsPatch	RenderPatch	
	IRenderBin plusRenderBin = renderHelper.GetOrCreateRenderBinForced(Assets.Add);	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\Menus\InGame\InGameMenu.Rendering.cs	80	13	TranSimCS		Draw	InGameMenu	
	IRenderBin renderBin = game.renderHelper.GetOrCreateRenderBinForced(Assets.Road);	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\Tools\RoadDemolitionTool.cs	28	13	TranSimCS		Draw	RoadDemolitionTool	
	IRenderBin renderBin = GetOrCreateRenderBinForced(kv.Key);	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\ModelOld\MultiMesh.cs	47	17	TranSimCS		AddAll	MultiMesh	
	IRenderBin renderBin = menu.renderHelper.GetOrCreateRenderBinForced(Assets.Road);	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\Tools\RoadCreationTool.cs	284	17	TranSimCS		Draw	RoadCreationTool	
	IRenderBin renderBin = mesh.GetOrCreateRenderBinForced(Assets.Road);	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\Roads\RoadRenderer.cs	51	13	TranSimCS		GenerateLaneMesh	RoadRenderer	
	IRenderBin renderBin = renderHelper.GetOrCreateRenderBinForced(Assets.Road);	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\Menus\InGame\InGameMenu.Rendering.cs	16	13	TranSimCS		DrawHighlights	InGameMenu	
	IRenderBin roadBin = renderHelper.GetOrCreateRenderBinForced(Assets.Road);	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\Roads\Strip\SegmentRenderer.cs	22	13	TranSimCS		GenerateRoadSegmentFullMesh	SegmentRenderer	
	private static object? RayIntersectMeshLinear(IRenderBin mesh, Ray ray, out float intersectionDistance0) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\ModelOld\MeshUtil.cs	42	55	TranSimCS		RayIntersectMeshLinear	MeshUtil	
	private static void EmitStrip(object tag, Vector3i size, IRenderBin mesh) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\Worlds\Building\BuildingUnit.cs	49	66	TranSimCS		EmitStrip	BuildingUnit	
	private void GroundParallelogram(IRenderBin renderBin, Vector3 initialpos, Vector3 basepos, Vector3 xplus, Vector3 yplus, float scale) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\Menus\InGame\InGameMenu.Rendering.cs	123	42	TranSimCS		GroundParallelogram	InGameMenu	
	private void RenderGround(Vector3 posoffset, IRenderBin renderBin) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\Menus\InGame\InGameMenu.Rendering.cs	102	54	TranSimCS		RenderGround	InGameMenu	
	public class Mesh: IRenderBin {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\ModelOld\Mesh.cs	10	24	TranSimCS		Mesh	Mesh	Typ podstawowy
	public static BoundingBox BoundingBox(this IRenderBin mesh) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\ModelOld\MeshUtil.cs	16	52	TranSimCS		BoundingBox	MeshUtil	
	public static BoundingBox FromMany(IEnumerable<IRenderBin> meshes) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\SceneGraph\SceneNode.cs	116	56	TranSimCS		FromMany	SceneNode	Argument typu
	public static object? RayIntersectMesh(IRenderBin mesh, Ray ray, out float intersectionDistance) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\ModelOld\MeshUtil.cs	28	48	TranSimCS		RayIntersectMesh	MeshUtil	
	public static object? RayIntersectMeshes(IEnumerable<IRenderBin> meshes, Ray ray, out float intersectionDistance) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\ModelOld\MeshUtil.cs	63	62	TranSimCS		RayIntersectMeshes	MeshUtil	Argument typu
	public static Quad CreateAddLane(AddLaneSelection als, IRenderBin mesh, float size = 1, Color? color = null, float voffset = 0.2f) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\Roads\RoadRenderer.cs	36	64	TranSimCS		CreateAddLane	RoadRenderer	
	public static void AddAddLaneSelectors(IRenderBin mesh, IEnumerable<RoadNode> nodes, float width) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\Menus\InGame\SelectionUtils.cs	14	48	TranSimCS		AddAddLaneSelectors	SelectionUtils	
