Stan	Kod	Plik	Wiersz	Kolumna	Projekt	Repozytorium	Zawierająca składowa	Zawierający typ	Rodzaj
	class Mesh								
	if (allowBVH && mesh is Mesh concrete) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\ModelOld\MeshUtil.cs	29	37	TranSimCS		RayIntersectMesh	MeshUtil	
	if(allowBVH && mesh is Mesh concrete) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\ModelOld\MeshUtil.cs	17	36	TranSimCS		BoundingBox	MeshUtil	
	Mesh mesh = new Mesh();	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\Model\RenderBinConverter.cs	52	13	TranSimCS		MeshElement2Mesh	RenderBinConverter	
	private Dictionary<Texture2D, Mesh> _renderBins = [];	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\ModelOld\MultiMesh.cs	12	39	TranSimCS			MultiMesh	Argument typu
	private MeshBvh(Mesh mesh, Node[] nodes, Triangle[] triangles) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\ModelOld\MeshBvh.cs	29	25	TranSimCS		.ctor	MeshBvh	
	private readonly Mesh mesh;	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\ModelOld\MeshBvh.cs	9	26	TranSimCS			MeshBvh	
	private SplineFrameCoverter(WorkingPlane plane, Mesh lookupMesh) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\Geometry\SplineFrameCoverter.cs	19	57	TranSimCS		.ctor	SplineFrameCoverter	
	public bool TryGetOrCreateRenderBin(Texture2D? texture, out Mesh mesh) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\ModelOld\MultiMesh.cs	25	69	TranSimCS		TryGetOrCreateRenderBin	MultiMesh	
	public IDictionary<Texture2D, Mesh> RenderBins => new ReadOnlyDictionary<Texture2D, Mesh>(_renderBins);	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\ModelOld\MultiMesh.cs	13	39	TranSimCS		RenderBins	MultiMesh	Argument typu
	public IDictionary<Texture2D, Mesh> RenderBins => new ReadOnlyDictionary<Texture2D, Mesh>(_renderBins);	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\ModelOld\MultiMesh.cs	13	93	TranSimCS		RenderBins	MultiMesh	Argument typu
	public Mesh GetOrCreateRenderBin(Texture2D texture, Action<Mesh>? action) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\ModelOld\MultiMesh.cs	37	16	TranSimCS		GetOrCreateRenderBin	MultiMesh	
	public Mesh GetOrCreateRenderBin(Texture2D texture, Action<Mesh>? action) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\ModelOld\MultiMesh.cs	37	68	TranSimCS		GetOrCreateRenderBin	MultiMesh	Argument typu
	public Mesh GetOrCreateRenderBinForced(Texture2D texture) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\ModelOld\MultiMesh.cs	16	16	TranSimCS		GetOrCreateRenderBinForced	MultiMesh	
	public Mesh MeshElement2Mesh(MeshElement<SimpleMaterial, VertexPositionColorTexture> meshElement) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\Model\RenderBinConverter.cs	51	16	TranSimCS		MeshElement2Mesh	RenderBinConverter	
	public Mesh? GetOrCreateRenderBin(Texture2D? texture) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\ModelOld\MultiMesh.cs	20	16	TranSimCS		GetOrCreateRenderBin	MultiMesh	
	public readonly Mesh lookupMesh;	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\Geometry\SplineFrameCoverter.cs	18	25	TranSimCS			SplineFrameCoverter	
	public static Mesh ToSingleMesh(ObjData obj, Mesh? mesh = null) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\Model\OBJ\ObjConverter.cs	12	23	TranSimCS		ToSingleMesh	ObjConverter	
	public static Mesh ToSingleMesh(ObjData obj, Mesh? mesh = null) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\Model\OBJ\ObjConverter.cs	12	54	TranSimCS		ToSingleMesh	ObjConverter	
	public static MeshBvh Build(Mesh mesh) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\ModelOld\MeshBvh.cs	37	37	TranSimCS		Build	MeshBvh	
	public void DrawModel(Mesh mesh) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\ModelOld\IRenderBin.cs	64	31	TranSimCS		DrawModel	IRenderBin	
	Mesh.Mesh()								
	if(mesh == null) mesh = new Mesh();	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\Model\OBJ\ObjConverter.cs	13	41	TranSimCS		ToSingleMesh	ObjConverter	Konstruktor
	Mesh mesh = new Mesh();	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\Model\RenderBinConverter.cs	52	29	TranSimCS		MeshElement2Mesh	RenderBinConverter	Konstruktor
	renderBin = new Mesh();	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\ModelOld\MultiMesh.cs	39	33	TranSimCS		GetOrCreateRenderBin	MultiMesh	Konstruktor
